GeoFips,Source,GeoName,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
23000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV39,Maine,1184,1141,1153,1255,1352,1369,1393,1526,1586,1638,1713,1770,1825,1812,1878,1952,2125,2286,2420,2515,2673,2913,3225,3450,3690,4064,4462,4815,5381,5773,6282,6870,7682,8347,8984,9746,10699,11444,12246,12942,14134,15218,15751,16087,16890,17404,18042,18815,19655,20567,21790,22635,23993,25272,26448,27812,29098,29362,30595,31600,33073,33916,34735,35745,36213,35883,36986,38404,39443,41146,43021,44759,48843,52682,53812,58110
24000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV40,Maryland,1392,1395,1541,1660,1765,1852,1815,1906,2014,2105,2070,2110,2178,2287,2377,2445,2622,2762,2926,3125,3310,3742,4165,4559,4854,5343,5749,6290,6823,7290,8050,8763,9798,10695,11618,12533,13695,14751,15690,16383,17937,18928,19835,20451,21295,21899,22629,23306,24055,24768,26691,27950,30019,31389,32956,34399,36402,37606,39102,40301,42392,42894,43933,45329,45979,44886,45866,47362,48733,50294,51864,53026,56224,59434,59590,64681
25000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV41,Massachusetts,1383,1368,1537,1651,1694,1750,1768,1873,1990,2085,2097,2179,2229,2335,2435,2498,2658,2804,2974,3190,3416,3627,3941,4243,4492,4897,5279,5779,6185,6710,7388,8147,9137,10047,11136,12093,13594,14514,15526,16562,18412,19287,19862,20345,21351,22013,22909,23918,24987,26016,27143,28655,30947,32755,33862,34822,36660,37803,40412,41770,43818,44801,46212,47171,48671,47547,48990,51660,53559,55814,58718,61259,66215,70094,69440,76107
26000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV42,Michigan,1416,1403,1570,1687,1743,1917,1841,1988,2012,2046,2016,2095,2148,2158,2280,2388,2608,2823,3006,3086,3325,3519,3656,3982,4319,4828,5170,5629,6176,6848,7527,8199,8900,9521,10098,10809,11941,12831,13586,13933,14945,15962,16691,17010,17960,18629,19847,20734,21495,22276,23429,24498,26131,26699,27173,28054,28939,29372,30012,30838,31942,31388,32498,33962,35103,34957,36347,38076,38881,40100,41963,43307,47587,50744,50554,54612
27000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV43,Minnesota,1331,1236,1336,1445,1468,1547,1583,1640,1671,1755,1839,1874,1948,2023,2096,2220,2317,2526,2701,2859,3092,3331,3632,3880,4139,4891,5146,5571,5936,6630,7354,8029,8864,9717,10426,11023,12570,13274,14016,14666,15335,16562,17336,17791,18819,19069,20182,21006,22135,23094,24783,25906,27520,28635,29564,31084,32902,33137,34321,35867,37341,36641,37885,39696,41710,41132,42752,44162,44687,46524,48869,50294,53701,58535,59334,63250
28000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV44,Mississippi,761,678,745,818,866,899,891,1012,1009,1021,1108,1190,1174,1270,1294,1419,1482,1601,1732,1890,2065,2279,2488,2746,3029,3421,3677,4015,4461,4919,5355,5981,6460,7163,7644,7934,8668,9088,9448,9956,10747,11577,12163,12782,13626,14293,15218,15871,16630,17367,18195,18643,19541,20625,21303,22222,23561,24729,25499,27004,28099,28153,28902,30068,30924,31236,31849,32163,32620,33647,34784,36104,39375,43249,42805,45805
29000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV45,Missouri,1266,1227,1324,1413,1487,1559,1580,1660,1737,1774,1897,1971,1984,2040,2138,2219,2354,2528,2666,2825,3086,3163,3471,3750,4003,4473,4737,5248,5667,6250,6869,7592,8190,9075,9664,10515,11628,12340,12948,13457,14316,15238,15819,16530,17448,18029,18879,19638,20480,21434,22247,22913,24288,24979,26008,27126,28465,28956,30225,31253,32963,33128,33719,34639,36101,35887,36948,37867,38911,39922,41810,43331,47025,50499,51547,55935
30000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV46,Montana,1503,1323,1560,1667,1675,1661,1636,1763,1794,1836,1943,1866,1933,1878,2223,2181,2245,2398,2556,2620,2750,2980,3339,3549,4022,4594,4909,5365,5639,5956,6908,7276,8043,9093,9583,9999,10508,10647,11298,11582,11962,13106,13808,14650,15203,16097,16149,16742,17292,17886,19018,19207,20277,21108,22052,23718,25527,26892,28551,30087,31812,31475,32946,34553,36292,35947,37301,38330,38583,40536,42372,44295,47746,51683,52721,57099
31000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV47,Nebraska,1431,1269,1482,1522,1644,1544,1650,1554,1569,1847,1929,1927,2005,1996,2165,2201,2282,2537,2729,2809,2952,3220,3468,3833,4131,4798,4906,5693,5901,6291,7287,7751,8244,9614,10160,10768,12079,12757,13213,13794,14741,15511,16525,17046,17946,18357,19346,20105,21654,21933,23220,24164,25384,26657,27510,29397,30527,31085,31989,34040,36096,36123,37520,41492,41952,41178,43146,44541,43540,44422,46398,48106,51158,56771,59008,64211
32000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV48,Nevada,1610,1707,1884,2055,2178,2287,2244,2367,2328,2400,2467,2622,2730,2771,2975,2941,3040,3130,3279,3451,3802,4068,4615,4945,5225,5703,6006,6692,7184,7873,8883,9593,10545,11411,11828,12426,13200,13845,14468,15021,16235,17276,18023,18862,19972,20604,21541,22447,23308,24114,25555,26453,27743,28441,28757,29853,31486,33539,34940,35362,34684,33092,34194,35183,36057,35223,36999,39238,39693,42037,44143,46751,49128,53557,53659,58565
33000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV49,New Hampshire,1212,1214,1277,1397,1455,1509,1594,1704,1771,1864,1875,1988,2036,2119,2210,2235,2401,2527,2716,2897,3124,3401,3520,3789,4025,4475,4812,5227,5748,6284,7008,7848,8888,9896,10885,11835,13142,14085,15046,16096,17451,18342,18455,19294,20090,20444,21597,22537,23289,24482,26587,27743,30496,32264,33313,33969,35869,36527,38576,39723,41027,41593,43139,44567,46246,45498,46708,48388,49566,51775,54331,57429,60778,65102,64402,69821
34000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV50,New Jersey,1511,1505,1669,1809,1891,1996,2010,2078,2200,2295,2201,2321,2400,2457,2594,2655,2843,2983,3188,3372,3627,3982,4313,4658,4959,5442,5886,6445,6921,7490,8274,9069,10181,11279,12158,13224,14585,15395,16338,17270,19155,20533,21557,21949,23396,23880,24417,25762,26817,28054,29365,30230,32751,33807,35111,36146,37666,38347,40904,42774,44165,44210,45092,46108,47568,46895,48634,50078,51335,53134,55615,58464,61563,65710,65139,71166
35000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV51,New Mexico,1070,1106,1172,1287,1355,1396,1431,1502,1575,1668,1785,1841,1829,1892,1932,1979,2083,2180,2302,2395,2597,2787,3081,3363,3668,4016,4391,4955,5323,5802,6435,7078,7781,8532,9116,9825,10580,11258,11564,11756,12368,13063,13787,14495,15186,15879,16452,17310,17761,18313,19021,19142,20534,21832,22892,23883,25090,26117,27450,28578,30431,30295,31133,32176,32806,31690,33558,34304,35008,35739,37527,39424,42968,46609,47641,49969
36000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV52,New York,1587,1567,1680,1766,1792,1872,1921,2026,2128,2223,2291,2398,2478,2543,2649,2742,2948,3097,3284,3496,3807,3896,4228,4564,4833,5217,5640,6194,6550,7088,7741,8442,9414,10386,11253,12292,13564,14396,15326,16087,17852,19135,20646,20675,21700,22059,22636,23718,24655,25765,26876,28101,29930,30598,31703,32400,33663,34473,36589,38820,39676,40661,41862,43134,44938,44153,45276,46709,48772,51954,53643,55626,59792,63146,62031,68435
37000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV53,North Carolina,943,923,1032,1131,1156,1204,1237,1302,1364,1344,1425,1481,1517,1576,1668,1737,1880,1989,2182,2335,2516,2772,3008,3238,3550,3986,4306,4723,5128,5520,6125,6638,7321,8146,8754,9412,10521,11172,11913,12543,13695,14646,15421,15937,17089,17806,18498,19358,20203,21142,22021,22717,23734,24111,24689,25721,27534,28723,30355,31777,33713,32788,32610,33078,35088,33955,35572,36833,37626,39223,41020,42995,46306,50510,51188,54995
38000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV54,North Dakota,1357,1155,1317,1374,1248,1270,1321,1448,1500,1541,1790,1622,1764,1593,2268,2072,2051,2402,2422,2489,2624,2889,3088,3573,4215,5880,5635,5881,5704,5918,7398,7566,7083,9225,10034,10513,11320,11778,12143,12560,11660,13277,14590,14817,16246,16286,17663,17502,19582,19050,21017,21352,23329,23824,24881,27410,27684,29101,30086,32976,36851,36878,40260,43876,50127,48021,50091,47194,46154,46788,50261,51347,55338,59738,63600,65240
39000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV55,Ohio,1397,1337,1479,1636,1686,1776,1773,1865,1945,2002,1968,2083,2139,2167,2258,2336,2505,2659,2850,2959,3194,3432,3640,3911,4173,4626,5051,5444,5945,6530,7180,7872,8650,9359,9945,10563,11722,12415,13027,13454,14506,15478,16379,16707,17683,18243,19142,19908,20599,21659,22760,23410,24546,25290,26111,27116,28161,28711,29981,31114,32431,32281,33042,34803,36040,36225,37631,38875,39587,41083,42847,44178,47622,51301,51077,54915
40000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV56,Oklahoma,1052,1106,1079,1201,1297,1373,1370,1425,1490,1543,1691,1741,1789,1811,1853,1907,2056,2209,2343,2519,2726,2954,3257,3522,3754,4237,4576,5116,5503,5993,6623,7517,8401,9489,10152,10473,11345,11866,12275,12200,12925,13738,14316,14788,15556,16018,16545,17097,17850,18589,19382,19691,21224,22501,23399,24712,26624,28666,31151,31738,35169,32982,34211,36064,38113,39541,41614,40010,38058,39773,41994,43969,46069,49846,52422,55465
41000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV57,Oregon,1502,1498,1544,1664,1725,1753,1725,1836,1892,1904,1923,2047,2083,2163,2249,2304,2451,2610,2747,2899,3085,3273,3564,3861,4197,4653,5144,5699,6233,6683,7418,8134,8853,9488,9803,10588,11450,11959,12470,12975,14144,14990,15959,16365,17098,17844,18660,19709,20737,21399,22307,22660,24061,24830,25326,26203,27506,28091,30073,31245,32286,31784,32252,33246,34724,34501,36391,38284,39294,41260,43771,45348,49763,54231,54096,58633
42000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV58,Pennsylvania,1302,1289,1424,1533,1579,1678,1646,1718,1836,1935,1942,2001,2049,2095,2180,2246,2412,2556,2726,2918,3132,3364,3630,3872,4132,4565,4996,5535,6021,6571,7224,7943,8720,9558,10310,10959,11843,12588,13252,13861,15076,16251,17218,17944,18792,19402,19946,20723,21599,22540,23633,24568,26217,27399,28464,29610,31322,32167,33405,35124,36510,36514,37915,39331,40795,40628,41927,43306,44543,45782,48397,49744,53843,56271,56292,60812
44000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV59,Rhode Island,1306,1302,1457,1584,1617,1715,1744,1815,1862,1893,1973,2086,2107,2189,2328,2416,2580,2755,2966,3193,3403,3554,3854,4030,4283,4569,4898,5468,5890,6427,6937,7632,8699,9641,10428,11306,12367,13216,13969,14565,16106,17450,17936,18117,18973,19698,20137,21180,21693,22622,23920,24718,26192,27497,29059,30638,32121,32674,34275,35784,36711,36857,38650,39412,40684,40014,41280,42422,42746,44563,46368,48915,52935,55493,55519,59820
45000,https://apps.bea.gov/iTable/?reqid=70&step=30&isuri=1&major_area=0&area=xx&year=-1&tableid=21&category=421&area_type=0&year_end=-1&classification=non-industry&state=0&statistic=3&yearbegin=-1&unit_of_measure=levels#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwzMCwzMF0sImRhdGEiOltbIm1ham9yX2FyZWEiLCIwIl0sWyJhcmVhIixbIlhYIl1dLFsieWVhciIsWyItMSJdXSxbInRhYmxlaWQiLCIyMSJdLFsieWVhcl9lbmQiLCItMSJdLFsic3RhdGUiLFsiMCJdXSxbInN0YXRpc3RpYyIsIjMiXSxbInllYXJiZWdpbiIsIi0xIl0sWyJ1bml0X29mX21lYXN1cmUiLCJMZXZlbHMiXV60,South Carolina,872,833,886,1079,1135,1182,1128,1182,1209,1239,1271,1331,1371,1427,1512,1577,1697,1853,2043,2193,2391,2641,2912,3120,3368,3758,4144,4529,4926,5280,5848,6387,7065,7800,8302,8941,9889,10452,11047,11633,12637,13477,14297,14775,15528,16115,16854,17575,18359,19143,20157,20831,22092,22689,23564,24360,25394,26271,27621,28805,29877,29460,30132,31360,32672,32447,34166,35594,36518,38076,39509,41387,44014,47566,47586,51274
